contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict,frameworks_matched,source_chars,deployer_other_fp_count,tx_count_phasec,distinct_interactors_phasec,revert_rate_phasec,phase_c_verdict,phase_c_rationale
0xf8ab7a85ca2542e70926ce345948437e6d922d4d,arbitrum,Behavioral confirmation: bot 0xdb422bbf5d6b58d35f198f6cc227eb6c1f1c388e trapped in tx 9efac829a448a1d67080a9910bf38a71d8,bytecode_pattern,0xbbf17c07a6b006273d64f72e7c4e880c1379fb39,True,False,SSCCB,,,,SSCCB,SSCCB,ERC-20,6,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,8,3,0.125,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 3 interactors, 8 txs — consistent with narrow honeypot"
0xec7d448e526377957c23a5a40a1b96028efe50ce,arbitrum,Behavioral confirmation: bot 0x407db951495e93e6954ca11697ba8726cb9b1afd trapped in tx f505fffc4e8fa7c352da91dcdf35bf6a24,bytecode_pattern,0x449f6441e85e2b6572283175f73f5ae4816e7449,,,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,2,6,3,0.667,LIKELY_FP_FROM_CLUSTER,deployer has 2 other LIKELY_FP contract(s) in Phase A — siblings likely legitimate
0x20c52ae57cb5c32e849c12528c23be737a840588,arbitrum,Behavioral confirmation: bot 0xc7482b7caee9f2d3fc1592591e7923d17f3a9686 trapped in tx ae69c4f990e8e3863edc045581a9408ffd,bytecode_pattern,0x6afdafe5d9886b32466c3a12bd7aeff59b5d93c2,,,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,41,19,2.16,behavioral,0,NEEDS_REVIEW,,0,0,346,44,0.078,STILL_AMBIGUOUS,"interactors=44, tx=346, revert=7.8%, source_chars=0, verified=False"
0x7d81d8ea1791ab668cd92990f29213d8d426f888,arbitrum,Behavioral confirmation: bot 0x7e1c5b996b5cb92d6e344060a1ff51650ddf60c9 trapped in tx a22b1a094b67bdc4afb85e3dc4471b670f,deployer_history,0xc5d133296e17ba25df0409a6c31607bf3b78e3e3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,2,False,,0,0,,behavioral,1,NEEDS_REVIEW,,0,0,16,2,0.938,STILL_AMBIGUOUS,"interactors=2, tx=16, revert=93.8%, source_chars=0, verified=False"
0xec6819ecc7c7b4b51661099fa1a1460f41e75b81,arbitrum,Behavioral confirmation: bot 0x5f7476ee17eccbc57de45f3444852f5141f650f2 trapped in tx d6618fd5d5cf5e4efad78acbae07e158c9,bytecode_pattern,0x694834fea7b9cf607b9a9b9b609fa82e0497cf99,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,18,2,0.056,STILL_AMBIGUOUS,"interactors=2, tx=18, revert=5.6%, source_chars=0, verified=False"
0x383dd8ccdc17ca97d5cd4640cfe7021a3b6b1662,arbitrum,Behavioral confirmation: bot 0x7e1c5b996b5cb92d6e344060a1ff51650ddf60c9 trapped in tx 1205a7109acad609e227aa7939632a035d,deployer_history,0xc5d133296e17ba25df0409a6c31607bf3b78e3e3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,2,False,,0,0,,behavioral,1,NEEDS_REVIEW,,0,0,13,1,1.000,STILL_AMBIGUOUS,"interactors=1, tx=13, revert=100.0%, source_chars=0, verified=False"
0x98189ee5d702ae30448eb20b3e3601b7a04b6732,base,Behavioral confirmation: bot 0x31300f512a14191ce30d14f0c63ff85816abb7d4 trapped in tx 90313c8f1298865eedc34d84e076dd807f,bytecode_pattern,0xdd8769529d83f2fc3af26327540e41e250fce4d4,True,True,MerkleDistributorWithDeadline,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20|OpenZeppelin-Ownable,33785,0,20921,20769,0.007,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20, OpenZeppelin-Ownable"
0x542b2b96e9c944260722a86c2ee76166a8e3d0a0,base,Behavioral confirmation: bot 0x5be28b0257dd7ccb24588b9c4e18cb127928415e trapped in tx 2034232328f1b023088b23838a52fee19c,bytecode_pattern,0xa41d5faf7ba8b82e276125de2a053216e91f4814,True,False,ZERO,,,,ZERO,ZERO,ERC-20,29,,,,,NEEDS_REVIEW,0,False,,8,7,1.14,behavioral,0,NEEDS_REVIEW,,0,0,10322,18,0.001,STILL_AMBIGUOUS,"interactors=18, tx=10322, revert=0.1%, source_chars=0, verified=False"
0x7cff972b2227226ff058e9fabbf281e28200f2b9,base,Behavioral confirmation: bot 0xfa91a7af4152fe2da1315d113a789929970bb2fe trapped in tx 476dd360ff65f7b439a5ac1f6297d21922,bytecode_pattern,0x963a4de08481c5e75dcf9801fa528c2cfb1663ec,True,True,PublicBridge,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,42324,0,12,6,0.083,STILL_AMBIGUOUS,"interactors=6, tx=12, revert=8.3%, source_chars=42324, verified=True"
0x0b51825d79c10042343edcab55bb64fa6a02de1e,base,Behavioral confirmation: bot 0xb806088fce035cacef3b3b0c3e9ea8e32069b89c trapped in tx d4adea9d9623cd3cd5ee8956e33b01f518,bytecode_pattern,0x5eda1de70e198fd62be90f37dbbc8f6c9b45afd9,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,10,2,0.900,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 2 interactors, 10 txs — consistent with narrow honeypot"
0x80719c8024053a39c73df60a80ddefd1def333d7,base,Behavioral confirmation: bot 0xb806088fce035cacef3b3b0c3e9ea8e32069b89c trapped in tx 3c1c847b2ee9d39282a3dbdb2d3c7cc009,bytecode_pattern,0x5eda1de70e198fd62be90f37dbbc8f6c9b45afd9,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,59,2,0.983,STILL_AMBIGUOUS,"interactors=2, tx=59, revert=98.3%, source_chars=0, verified=False"
0x9eb69d036e756cec01d69ac2fdc1d666fa030237,base,Behavioral confirmation: bot 0x212ed41b51e50b0751ddc206cf11ac7c1fd2da65 trapped in tx b05c02864436e9654df764d52facf61356,bytecode_pattern,0xb710d6981d5e04105edb4d2a6352e19169ccd2c3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,16266,2,0.613,STILL_AMBIGUOUS,"interactors=2, tx=16266, revert=61.3%, source_chars=0, verified=False"
0xbd0e5f14afadd9a6bec11d8fe0b22624ba29bce8,arbitrum,Behavioral confirmation: bot 0x268846b7e53f9352e0ad7f4fcef0c9d8683b537c trapped in tx 34b161939519b3a1c9b5c475b1b8eb8959,bytecode_pattern,0x44f5de4b72ffb110b021391c3493cd351c4172e2,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,7310,7,0.497,STILL_AMBIGUOUS,"interactors=7, tx=7310, revert=49.7%, source_chars=0, verified=False"
