contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict
0xd65e0d3cca73ddf9a48369197c5d3ce08c8f799d,arbitrum,Behavioral confirmation: bot 0x69ab884ba714dd462da25fb531a5f61d0dbef2c8 trapped in tx ff98af4b6e3b7502edcdbd7887604eb84f,bytecode_pattern,0x26e7e7c509584ab8934db7e86f6ff454deffcca0,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW
0xda8afd9d184ba5cbad80a3e27b9d2d3c8d6cb4a5,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 4 times (4 reverte,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0x58ddf77a329ccbe2f4c2114c64ed9e12ec8a1356,optimism,Behavioral confirmation: bot 0xe13bcc0b18642e6102c734febe1e50d855dfd0e6 trapped in tx 2e96cf1472596883a9609ba610430e5a5c,deployer_history,0xdbe51af4ad8e38ce3fc6813a177f769cb6ab2e52,True,True,TransparentUpgradeableProxy,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW
0x3284f353c446a588d799b0ce46eda04164df4770,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 15 times (15 rever,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0x8def65c3829e23f2f2e4d3aef325666b9495f597,base,Behavioral confirmation: bot 0xd942db63cf0795edff8991ef1022c5a1dcc953f4 trapped in tx cfbbf5c6158a5e52fce6533957d663215a,bytecode_pattern,0x3fe7503f4d840dc12c871cae0b85f7747c41ce58,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW
0xb34c2e6c161a927818700d542454d191c42a0594,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 10 times (7 revert,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0xeb5f46bfbce3f1dc839b6c8475952716de97bc0a,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 13 times (12 rever,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0x1881eec2ac47c40bc0226b4b50739294566ef494,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 65 times (23 rever,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0xb1036c3f91df3138f8b84c9ed97f25b7cc9c96bb,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 57 times (46 rever,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0xb25351a577d9c5d0c1ca83cb4ff77f0eeb656352,base,Behavioral confirmation: bot 0xc0ffee055fee1b6617322406b897c0f8a8f1dffa trapped in tx 985b3a3f35c545465d3ec53bff21b1b0a1,bytecode_pattern,0xc0ffeefeed8b9d271445cf5d1d24d74d2ca4235e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,203,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
